taskKey,workerKey
task-alpha-electrical,worker-01
task-alpha-electrical,worker-02
task-alpha-inspection,worker-08
task-alpha-walls,worker-03
task-alpha-finishing,worker-05
task-beta-demo,worker-06
task-beta-electrical,worker-02
task-beta-plumbing,worker-04
task-beta-carpentry,worker-03
task-gamma-hvac,worker-04
task-gamma-painting,worker-05
task-gamma-inspection,worker-07
task-townhouse-electrical,worker-08
task-townhouse-waterproof,worker-05
task-townhouse-tiling,worker-05
task-clinic-reception,worker-03
task-clinic-electrical,worker-02
