assumptionType,taskKey,projectKey,fromProjectKey,toProjectKey,workerKey,optimisticPersonHours,mostLikelyPersonHours,pessimisticPersonHours,prerequisiteKeys,specialtyKeys,minCrew,maxCrew,target,priority,outboundTravelHours,returnTravelHours,setupHours,startsAt,endsAt,transferConfirmed
task,task-alpha-electrical,project-alpha,,,,24,32,44,,skill-electrical,1,2,,5,,,,,,
task,task-alpha-inspection,project-alpha,,,,4,6,10,task-alpha-electrical,skill-inspection,1,1,,5,,,,,,
task,task-alpha-walls,project-alpha,,,,12,18,28,task-alpha-inspection,skill-carpentry,1,2,,4,,,,,,
task,task-alpha-finishing,project-alpha,,,,16,24,36,task-alpha-walls,skill-finishing,1,2,,4,,,,,,
task,task-beta-demo,project-beta,,,,6,10,16,,skill-demolition,1,2,,4,,,,,,
task,task-beta-electrical,project-beta,,,,20,30,42,task-beta-demo,skill-electrical,1,2,,3,,,,,,
task,task-beta-plumbing,project-beta,,,,14,20,30,,skill-plumbing,1,1,,2,,,,,,
task,task-beta-carpentry,project-beta,,,,18,26,38,task-beta-plumbing,skill-carpentry,1,2,,2,,,,,,
task,task-gamma-hvac,project-gamma,,,,22,30,46,,skill-plumbing,1,2,,2,,,,,,
task,task-gamma-painting,project-gamma,,,,18,26,40,,skill-finishing,1,2,,2,,,,,,
task,task-gamma-inspection,project-gamma,,,,5,8,14,task-gamma-hvac;task-gamma-painting,skill-inspection,1,1,,1,,,,,,
task,task-townhouse-electrical,project-townhouse,,,,4,6,9,,skill-inspection,1,1,,2,,,,,,
task,task-townhouse-waterproof,project-townhouse,,,,16,24,36,task-townhouse-electrical,skill-finishing,1,2,,1,,,,,,
task,task-townhouse-tiling,project-townhouse,,,,10,16,24,task-townhouse-waterproof,skill-tiling,1,2,,1,,,,,,
task,task-clinic-reception,project-clinic,,,,12,20,30,,skill-carpentry,1,2,,2,,,,,,
task,task-clinic-electrical,project-clinic,,,,10,16,24,task-clinic-reception,skill-electrical,1,2,,2,,,,,,
transfer,,,project-beta,project-alpha,worker-02,,,,,,,,,,0.75,0.75,1.25,2026-09-22T10:00:00+02:00,2026-09-22T16:00:00+02:00,true
